spots0.png,133,199
spots1.png,75,31
spots2.png,208,121
spots3.png,202,197
spots4.png,118,84
spots5.png,155,98
spots6.png,106,184
spots7.png,122,46
spots8.png,187,150
spots9.png,23,1
spots10.png,201,112
spots11.png,180,156
spots12.png,158,112
spots13.png,5,150
spots14.png,36,185
spots15.png,77,98
spots16.png,61,4
spots17.png,57,62
spots18.png,161,119
spots19.png,16,193
spots20.png,125,102
spots21.png,198,108
spots22.png,143,152
spots23.png,134,94
spots24.png,102,105
spots25.png,82,191
spots26.png,88,23
spots27.png,140,171
spots28.png,81,204
spots29.png,22,148
spots30.png,27,18
spots31.png,19,190
spots32.png,101,76
spots33.png,66,15
spots34.png,146,7
spots35.png,87,2
spots36.png,109,188
spots37.png,48,4
spots38.png,14,50
spots39.png,133,119
spots40.png,61,107
spots41.png,25,118
spots42.png,157,87
spots43.png,167,138
spots44.png,175,156
spots45.png,188,145
spots46.png,163,171
spots47.png,173,152
spots48.png,216,199
spots49.png,122,110
spots50.png,17,135
spots51.png,154,208
spots52.png,126,201
spots53.png,179,0
spots54.png,188,139
spots55.png,95,118
spots56.png,83,8
spots57.png,35,111
spots58.png,49,8
spots59.png,109,31
spots60.png,108,119
spots61.png,142,105
spots62.png,174,154
spots63.png,53,53
spots64.png,175,51
spots65.png,64,110
spots66.png,9,63
spots67.png,162,46
spots68.png,89,109
spots69.png,151,125
spots70.png,134,75
spots71.png,52,148
spots72.png,218,98
spots73.png,219,64
spots74.png,177,167
spots75.png,93,84
spots76.png,188,189
spots77.png,120,50
spots78.png,179,175
spots79.png,158,30
spots80.png,212,154
spots81.png,135,28
spots82.png,49,204
spots83.png,101,184
spots84.png,97,169
spots85.png,123,65
spots86.png,41,28
spots87.png,187,66
spots88.png,73,8
spots89.png,43,96
spots90.png,121,89
spots91.png,9,98
spots92.png,119,211
spots93.png,5,66
spots94.png,36,107
spots95.png,137,113
spots96.png,83,165
spots97.png,157,88
spots98.png,6,115
spots99.png,148,119
spots100.png,201,183
spots101.png,118,128
spots102.png,38,155
spots103.png,19,184
spots104.png,213,46
spots105.png,0,151
spots106.png,133,22
spots107.png,13,152
spots108.png,36,62
spots109.png,59,172
spots110.png,197,43
spots111.png,64,103
spots112.png,32,141
spots113.png,57,21
spots114.png,61,57
spots115.png,46,149
spots116.png,121,114
spots117.png,117,125
spots118.png,34,159
spots119.png,136,136
spots120.png,159,127
spots121.png,190,129
spots122.png,83,153
spots123.png,113,162
spots124.png,165,2
spots125.png,162,35
spots126.png,61,89
spots127.png,174,109
spots128.png,206,78
spots129.png,63,185
spots130.png,19,175
spots131.png,157,140
spots132.png,22,206
spots133.png,175,58
spots134.png,1,208
spots135.png,164,155
spots136.png,101,79
spots137.png,29,188
spots138.png,101,31
spots139.png,153,172
spots140.png,17,0
spots141.png,150,30
spots142.png,149,16
spots143.png,67,194
spots144.png,112,65
spots145.png,145,160
spots146.png,57,112
